itemid,mean,dev_std,min,max,sparse
14977,9.492424e-05, 8.1430604e-05, 1.3167253e-05, 0.0003837991, 0.9966561667070511
14978,0, 0, 0, 0, 1
14979,0, 0, 0, 0, 1
14980,1.888477e-05, 1.7849915e-08, 1.8863113e-05, 1.890683e-05, 0.9998546159437849
14981,0, 0, 0, 0, 1
14982,0.00012285644, 0.00012419783, 9.895887e-07, 0.00056599727, 0.9960746304821905
14983,0.00015773422, 0.00012271183, 1.7733224e-05, 0.0003714455, 0.99859462078992
14984,0, 0, 0, 0, 1
14985,0, 0, 0, 0, 1
14986,9.7822805e-05, 7.321007e-05, 1.865773e-05, 0.0002955501, 0.9986915434940635
14987,0, 0, 0, 0, 1
14988,0, 0, 0, 0, 1
14989,1.8926683e-05, 0.0, 1.8926683e-05, 1.8926683e-05, 0.9999515386479283
14990,1.8870607e-05, 0.0, 1.8870607e-05, 1.8870607e-05, 0.9999515386479283
14991,0, 0, 0, 0, 1
14992,0, 0, 0, 0, 1
14993,0, 0, 0, 0, 1
14994,0.00013720727, 0.00018773177, 4.1411345e-06, 0.0015005363, 0.9860431306033438
14995,0, 0, 0, 0, 1
14996,1.8930052e-05, 1.1250453e-09, 1.8928926e-05, 1.8931176e-05, 0.9999030772958566
14997,0, 0, 0, 0, 1
14998,0.0001197785, 0.00014380409, 2.0402997e-06, 0.0007820306, 0.9907923431063727
14999,0, 0, 0, 0, 1
15000,3.3740223e-05, 1.3113367e-05, 1.8851277e-05, 5.8511065e-05, 0.9996123091834263
15001,5.557203e-05, 4.5389042e-05, 1.8762426e-05, 0.0001572796, 0.999660770535498
15002,0, 0, 0, 0, 1
15003,0, 0, 0, 0, 1
15004,0, 0, 0, 0, 1
15005,9.584973e-05, 9.6601245e-05, 7.074046e-07, 0.0005235268, 0.9889992730797189
15006,4.9576433e-05, 3.2529468e-05, 1.7720093e-05, 0.00013731136, 0.9991761570147807
15007,5.0173236e-05, 2.8991413e-05, 1.7893928e-05, 0.000117209915, 0.9988853889023503
15008,0, 0, 0, 0, 1
15009,0, 0, 0, 0, 1
15010,0, 0, 0, 0, 1
15011,3.592028e-05, 2.6156373e-05, 1.7401735e-05, 0.00013684777, 0.9985461594378483
15012,0, 0, 0, 0, 1
15013,0, 0, 0, 0, 1
15014,5.4123975e-05, 3.9022332e-05, 1.7652774e-05, 0.00013676185, 0.9988369275502786
15015,1.8820054e-05, 0.0, 1.8820054e-05, 1.8820054e-05, 0.9999515386479283
15016,0, 0, 0, 0, 1
15017,0.00018489326, 0.00023672981, 7.197346e-07, 0.0015772313, 0.9878362006299976
15018,0, 0, 0, 0, 1
15019,1.88182e-05, 0.0, 1.88182e-05, 1.88182e-05, 0.9999515386479283
15020,5.846373e-05, 0.0, 5.846373e-05, 5.846373e-05, 0.9999515386479283
15021,0, 0, 0, 0, 1
15022,0, 0, 0, 0, 1
15023,7.168924e-05, 4.9235405e-05, 1.3918821e-05, 0.0002269769, 0.9974800096922705
15024,0, 0, 0, 0, 1
15025,0, 0, 0, 0, 1
15026,0, 0, 0, 0, 1
15027,0, 0, 0, 0, 1
15028,0, 0, 0, 0, 1
15029,0.00014934824, 0.00018025193, 1.9177821e-06, 0.0008393136, 0.9894354252483645
15030,0, 0, 0, 0, 1
15031,0, 0, 0, 0, 1
15032,0, 0, 0, 0, 1
15033,0, 0, 0, 0, 1
15034,0, 0, 0, 0, 1
15035,0, 0, 0, 0, 1
15036,6.45622e-05, 6.652172e-05, 1.7402168e-05, 0.00031405652, 0.9975284710443422
15037,0, 0, 0, 0, 1
15038,9.574352e-05, 0.00011194689, 1.3763087e-05, 0.0006408869, 0.9935546401744608
15039,0, 0, 0, 0, 1
15040,0.00019235369, 0.00012256704, 1.245006e-05, 0.0004757227, 0.9974315483401986
15041,0, 0, 0, 0, 1
15042,0, 0, 0, 0, 1
15043,6.920565e-05, 8.527957e-05, 1.7605824e-05, 0.00051142613, 0.9973346256360552
15044,0, 0, 0, 0, 1
15045,6.976462e-05, 4.832786e-05, 1.8837378e-05, 0.00015737656, 0.999660770535498
15046,6.664703e-05, 5.3246844e-05, 1.5351829e-05, 0.00023097964, 0.9968984734674098
15047,1.8709121e-05, 0.0, 1.8709121e-05, 1.8709121e-05, 0.9999515386479283
15048,0, 0, 0, 0, 1
15049,0, 0, 0, 0, 1
15050,0.0002047674, 0.00028063997, 5.9692657e-06, 0.0016888918, 0.9904531136418706
15051,0, 0, 0, 0, 1
15052,5.2826297e-05, 2.2974575e-05, 1.8888055e-05, 9.8103956e-05, 0.999660770535498
15053,0.00014598548, 0.00016547705, 3.1813877e-07, 0.0012614755, 0.9734431790646959
15054,0, 0, 0, 0, 1
15055,0, 0, 0, 0, 1
15056,2.8696682e-05, 1.5201026e-05, 1.8666311e-05, 5.850804e-05, 0.9997092318875697
15057,0, 0, 0, 0, 1
15058,0, 0, 0, 0, 1
15059,0, 0, 0, 0, 1
15060,0, 0, 0, 0, 1
15061,0, 0, 0, 0, 1
15062,5.5197008e-05, 4.4585337e-05, 1.746681e-05, 0.00017667933, 0.9991761570147807
15063,0, 0, 0, 0, 1
15064,0, 0, 0, 0, 1
15065,3.8360795e-05, 2.7643458e-05, 1.8761235e-05, 9.699399e-05, 0.9997092318875697
15066,0, 0, 0, 0, 1
15067,0, 0, 0, 0, 1
15068,1.8872472e-05, 0.0, 1.8872472e-05, 1.8872472e-05, 0.9999515386479283
15069,0, 0, 0, 0, 1
15070,0, 0, 0, 0, 1
15071,0, 0, 0, 0, 1
15072,1.8928557e-05, 0.0, 1.8928557e-05, 1.8928557e-05, 0.9999030772958566
15073,0, 0, 0, 0, 1
15074,0, 0, 0, 0, 1
15075,0, 0, 0, 0, 1
15076,9.556802e-05, 0.00012419868, 1.230966e-05, 0.0006657031, 0.9955415556094015
15077,4.855413e-05, 3.2787546e-05, 1.8852848e-05, 9.793165e-05, 0.9998061545917131
15078,6.972615e-05, 6.1912535e-05, 1.0862229e-05, 0.00039194073, 0.9955900169614732
15079,0, 0, 0, 0, 1
15080,0, 0, 0, 0, 1
15081,2.5528154e-05, 9.348183e-06, 1.8913124e-05, 3.874848e-05, 0.9998546159437849
15082,6.266267e-05, 5.2709216e-05, 1.4104752e-05, 0.00022819922, 0.9950569420886842
15083,0, 0, 0, 0, 1
15084,0, 0, 0, 0, 1
15085,0, 0, 0, 0, 1
15086,0, 0, 0, 0, 1
15087,0, 0, 0, 0, 1
15088,0.00016134878, 0.00019959845, 8.457625e-06, 0.0006492226, 0.9974315483401986
15089,0, 0, 0, 0, 1
15090,0.00017640414, 0.0002525963, 9.418393e-07, 0.0026106548, 0.9593893869638963
15091,0, 0, 0, 0, 1
15092,0.00015225107, 0.00018031355, 8.5447455e-06, 0.0010556611, 0.984976980857766
15093,2.5381e-05, 9.275509e-06, 1.8728839e-05, 3.8498103e-05, 0.9998546159437849
15094,0, 0, 0, 0, 1
15095,0, 0, 0, 0, 1
15096,7.5317e-05, 6.892368e-05, 1.4077291e-05, 0.00036604394, 0.9966077053549794
15097,0, 0, 0, 0, 1
15098,0.0001703999, 0.0001584708, 5.664734e-06, 0.00094866724, 0.9879331233341411
15099,0.00010871133, 9.996381e-05, 9.047662e-06, 0.000508411, 0.9885631209110735
15100,3.8497143e-05, 1.7560049e-05, 1.8880364e-05, 5.8404356e-05, 0.9997576932396414
15101,3.8699603e-05, 1.9846371e-05, 1.8823956e-05, 5.856616e-05, 0.9998061545917131
15102,0, 0, 0, 0, 1
15103,0, 0, 0, 0, 1
